Occupation	Total employed (Thousands)	Women	Original
Account collector	139	71.3	Bill and account collectors
Accountant	1,804	60.3	Accountants and auditors
Accounting clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks
Actor	40	-	Actors
Actuary	29	-	Actuaries
Adhesive bonding machine operator	6	-	Adhesive bonding machine operators and tenders
Adhesive bonding machine tender	6	-	Adhesive bonding machine operators and tenders
Administrative assistant	2,769	95	Secretaries and administrative assistants
Administrative services manager	151	40.1	Administrative services managers
Administrative support worker	576	75.2	Office and administrative support workers, all other
Advertising manager	61	52.7	Advertising and promotions managers
Advertising sales agent	241	50.4	Advertising sales agents
Aerospace engineer	148	8.9	Aerospace engineers
Agent	50	44.4	Agents or business managers of artists, performers, and athletes
Agricultural engineer	2	-	Agricultural engineers
Agricultural inspector	18	-	Agricultural inspectors
Agricultural manager	1,018	25.2	Farmers, ranchers, and other agricultural managers
Agricultural product sorter	110	67.1	Graders and sorters, agricultural products
Agricultural products grader	110	67.1	Graders and sorters, agricultural products
Agricultural scientist	32	-	Agricultural and food scientists
Agricultural technician	32	-	Agricultural and food science technicians
Agricultural worker	854	21.5	Miscellaneous agricultural workers
Air conditioning installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers
Air conditioning mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers
Air traffic controller	17	-	Air traffic controllers and airfield operations specialists
Aircraft assembler	1	-	Aircraft structure, surfaces, rigging, and systems assemblers
Aircraft mechanic	150	5.2	Aircraft mechanics and service technicians
Aircraft pilot	120	6.2	Aircraft pilots and flight engineers
Aircraft service technician	150	5.2	Aircraft mechanics and service technicians
Airfield operations specialist	17	-	Air traffic controllers and airfield operations specialists
Ambulance attendant	11	-	Ambulance drivers and attendants, except emergency medical technicians
Ambulance driver	11	-	Ambulance drivers and attendants, except emergency medical technicians
Amusement machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers
Amusement machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers
Animal breeder	2	-	Animal breeders
Animal caretaker	263	78.4	Nonfarm animal caretakers
Animal control worker	15	-	Animal control workers
Animal trainer	49	-	Animal trainers
Announcer	50	23.1	Announcers
Apparel patternmaker	3	-	Fabric and apparel patternmakers
Apparel worker	18	-	Textile, apparel, and furnishings workers, all other
Architect	253	28.6	Architects, except naval
Architectural manager	129	8.7	Architectural and engineering managers
Archivist	59	61.4	Archivists, curators, and museum technicians
Artist	236	51.9	Artists and related workers
Assembler	1,033	37.7	Miscellaneous assemblers and fabricators
Astronomer	18	-	Astronomers and physicists
Athlete	345	36.4	Athletes, coaches, umpires, and related workers
Atmospheric scientist	7	-	Atmospheric and space scientists
Audiologist	15	-	Audiologists
Auditing clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks
Auditor	1,804	60.3	Accountants and auditors
Authors	226	60.9	Writers and authors
Automated teller repairer	212	11.3	Computer, automated teller, and office machine repairers
Automotive glass installer	22	-	Automotive glass installers and repairers
Automotive glass repairer	22	-	Automotive glass installers and repairers
Automotive mechanic	902	2.4	Automotive service technicians and mechanics
Automotive repairer	140	1.1	Automotive body and related repairers
Automotive service attendant	94	8.8	Automotive and watercraft service attendants
Automotive service technician	902	2.4	Automotive service technicians and mechanics
Avionics technician	9	-	Avionics technicians
Baggage porter	89	31.1	Baggage porters, bellhops, and concierges
Bailiff	408	28.5	Bailiffs, correctional officers, and jailers
Baker	215	60.1	Bakers
Baking machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Baking machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Barber	135	15.6	Barbers
Bartender	417	57.3	Bartenders
Bartender helper	334	45.9	Dining room and cafeteria attendants and bartender helpers
Bellhop	89	31.1	Baggage porters, bellhops, and concierges
Bench carpenter	49	-	Cabinetmakers and bench carpenters
Benefits analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists
Benefits manager	16	-	Compensation and benefits managers
Bill collector	139	71.3	Bill and account collectors
Billing clerk	473	85.9	Billing and posting clerks
Biological scientist	98	54.4	Biological scientists
Biological technician	23	-	Biological technicians
Biomedical engineer	17	-	Biomedical engineers
Blaster	10	-	Explosives workers, ordnance handling experts, and blasters
Blending worker	72	14	Crushing, grinding, polishing, mixing, and blending workers
Blockmason	166	0.7	Brickmasons, blockmasons, and stonemasons
Boat captain	35	-	Ship and boat captains and operators
Boat operator	35	-	Ship and boat captains and operators
Boiler operator	76	3.3	Stationary engineers and boiler operators
Boilermaker	15	-	Boilermakers
Bookkeeping clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks
Boring machine tool operator	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Boring machine tool setter	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Boring machine tool tender	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Brazer	600	4.5	Welding, soldering, and brazing workers
Brazing worker	600	4.5	Welding, soldering, and brazing workers
Brickmason	166	0.7	Brickmasons, blockmasons, and stonemasons
Bridge tender	5	-	Bridge and lock tenders
Broadcast technician	119	14.4	Broadcast and sound engineering technicians and radio operators
Brokerage clerk	7	-	Brokerage clerks
Budget analyst	53	46.8	Budget analysts
Buffing machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Buffing machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Buffing machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Building cleaner	2,307	35.2	Janitors and building cleaners
Building inspector	89	10.2	Construction and building inspectors
Bus driver	578	47.8	Bus drivers
Bus mechanic	401	1.8	Bus and truck mechanics and diesel engine specialists
Business manager	50	44.4	Agents or business managers of artists, performers, and athletes
Business operations specialist	273	52.5	Business operations specialists, all other
Butcher	269	24.3	Butchers and other meat, poultry, and fish processing workers
Cabinetmaker	49	-	Cabinetmakers and bench carpenters
Cafeteria attendant	225	62.1	Counter attendants, cafeteria, food concession, and coffee shop
Cafeteria attendant	334	45.9	Dining room and cafeteria attendants and bartender helpers
Cargo agent	16	-	Cargo and freight agents
Carpenter	1,351	2.2	Carpenters
Carpet finisher	183	2.4	Carpet, floor, and tile installers and finishers
Carpet installer	183	2.4	Carpet, floor, and tile installers and finishers
Cartographer	43	-	Surveyors, cartographers, and photogrammetrists
Cashier	3,253	72.7	Cashiers
Caster	35	-	Molders, shapers, and casters, except metal and plastic
Ceiling tile installer	156	2.7	Drywall installers, ceiling tile installers, and tapers
Cement mason	54	1	Cement masons, concrete finishers, and terrazzo workers
Chauffeur	674	18.9	Taxi drivers and chauffeurs
Chef	465	19.7	Chefs and head cooks
Chemical engineer	77	16.9	Chemical engineers
Chemical processing machine operator	55	5.7	Chemical processing machine setters, operators, and tenders
Chemical processing machine setter	55	5.7	Chemical processing machine setters, operators, and tenders
Chemical processing machine tender	55	5.7	Chemical processing machine setters, operators, and tenders
Chemical technician	57	27.4	Chemical technicians
Chemist	105	38.3	Chemists and materials scientists
Chief executive	1,639	28	Chief executives
Childcare worker	1,225	93.7	Childcare workers
Chiropractor	51	21.1	Chiropractors
Choreographer	21	-	Dancers and choreographers
Civil engineer	461	14.4	Civil engineers
Claims adjuster	350	61.7	Claims adjusters, appraisers, examiners, and investigators
Claims appraiser	350	61.7	Claims adjusters, appraisers, examiners, and investigators
Claims examiner	350	61.7	Claims adjusters, appraisers, examiners, and investigators
Claims investigator	350	61.7	Claims adjusters, appraisers, examiners, and investigators
Cleaning equipment operator	11	-	Cleaning, washing, and metal pickling equipment operators and tenders
Cleaning equipment tender	11	-	Cleaning, washing, and metal pickling equipment operators and tenders
Cleric	406	17	Clergy
Clerical library assistant	96	80.1	Library assistants, clerical
Clinical laboratory technician	376	69.3	Clinical laboratory technologists and technicians
Clinical laboratory technologist	376	69.3	Clinical laboratory technologists and technicians
Coach	345	36.4	Athletes, coaches, umpires, and related workers
Coffee shop attendant	225	62.1	Counter attendants, cafeteria, food concession, and coffee shop
Coin machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers
Coin machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers
College lecturer	1,423	47	Postsecondary teachers
College professor	1,423	47	Postsecondary teachers
College teacher	1,423	47	Postsecondary teachers
Commodities sales agent	262	34	Securities, commodities, and financial services sales agents
Communication equipment worker	5	-	Media and communication equipment workers, all other
Communication worker	112	64.2	Miscellaneous media and communication workers
Communications equipment operator	9	-	Communications equipment operators, all other
Community association manager	743	48.6	Property, real estate, and community association managers
Community health worker	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers
Community service manager	390	70.2	Social and community service managers
Community specialist	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers
Compacting machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Compacting machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Compacting machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Compensation analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists
Compensation manager	16	-	Compensation and benefits managers
Compliance officer	260	57.6	Compliance officers
Computer control operator	99	9.8	Computer control programmers and operators
Computer control programmer	99	9.8	Computer control programmers and operators
Computer hardware engineer	80	17.2	Computer hardware engineers
Computer network architect	106	4.2	Computer network architects
Computer operator	73	60.2	Computer operators
Computer programmer	473	21.2	Computer programmers
Computer repairer	212	11.3	Computer, automated teller, and office machine repairers
Computer research scientist	24	-	Computer and information research scientists
Computer support specialist	532	27.1	Computer support specialists
Computer systems administrator	210	23.5	Network and computer systems administrators
Computer systems analyst	554	38.9	Computer systems analysts
Computer systems manager	630	28.6	Computer and information systems managers
Concierge	89	31.1	Baggage porters, bellhops, and concierges
Concrete finisher	54	1	Cement masons, concrete finishers, and terrazzo workers
Conservation scientist	29	-	Conservation scientists and foresters
Construction equipment operator	358	1.5	Operating engineers and other construction equipment operators
Construction inspector	89	10.2	Construction and building inspectors
Construction laborer	1,946	3.3	Construction laborers
Construction manager	1,081	7.4	Construction managers
Construction trades helpers	69	9.4	Helpers, construction trades
Construction worker	24	-	Miscellaneous construction and related workers
Control installer	26	-	Control and valve installers and repairers
Control repairer	26	-	Control and valve installers and repairers
Convention planner	137	85.1	Meeting, convention, and event planners
Conveyor operator	1	-	Conveyor operators and tenders
Conveyor tender	1	-	Conveyor operators and tenders
Cook	2,079	39.3	Cooks
Cooling equipment operator	3	-	Cooling and freezing equipment operators and tenders
Cooling equipment tender	3	-	Cooling and freezing equipment operators and tenders
Copy marker	10	-	Proofreaders and copy markers
Correctional officer	408	28.5	Bailiffs, correctional officers, and jailers
Correctional treatment specialist	99	63.5	Probation officers and correctional treatment specialists
Correspondence clerk	7	-	Correspondence clerks
Cosmetologist	806	92.6	Hairdressers, hairstylists, and cosmetologists
Cost estimator	118	12.9	Cost estimators
Counselor	853	72.3	Counselors
Counter attendant	225	62.1	Counter attendants, cafeteria, food concession, and coffee shop
Counter clerk	109	48.9	Counter and rental clerks
Courier	239	19.4	Couriers and messengers
Court clerk	90	75.2	Court, municipal, and license clerks
Crane operator	53	4.1	Crane and tower operators
Credit analyst	29	-	Credit analysts
Credit authorizer	55	63.8	Credit authorizers, checkers, and clerks
Credit checker	55	63.8	Credit authorizers, checkers, and clerks
Credit clerk	55	63.8	Credit authorizers, checkers, and clerks
Credit counselor	353	56.5	Credit counselors and loan officers
Criminal investigator	136	23.2	Detectives and criminal investigators
Crossing guard	63	52.2	Crossing guards
Crushing worker	72	14	Crushing, grinding, polishing, mixing, and blending workers
Curators	59	61.4	Archivists, curators, and museum technicians
Customer service representative	2,494	65.1	Customer service representatives
Cutting machine operator	80	11	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
Cutting worker	62	25.3	Cutting workers
Dancer	21	-	Dancers and choreographers
Data entry keyer	267	79.6	Data entry keyers
Database administrator	96	40.6	Database administrators
Demonstrator	61	78.4	Models, demonstrators, and product promoters
Dental assistant	299	95.9	Dental assistants
Dental hygienist	168	94.9	Dental hygienists
Dental laboratory technician	70	63.1	Medical, dental, and ophthalmic laboratory technicians
Dentist	159	35.8	Dentists
Derrick operator	30	-	Derrick, rotary drill, and service unit operators, oil, gas, and mining
Designer	908	52.8	Designers
Desktop publisher	2	-	Desktop publishers
Detective	136	23.2	Detectives and criminal investigators
Development manager	63	59.8	Training and development managers
Development specialist	133	47.1	Training and development specialists
Diagnostic technician	319	70.8	Diagnostic related technologists and technicians
Diagnostic technologist	319	70.8	Diagnostic related technologists and technicians
Die maker	62	3.2	Tool and die makers
Diesel engine specialist	401	1.8	Bus and truck mechanics and diesel engine specialists
Dietitian	114	94.1	Dietitians and nutritionists
Dining room attendant	334	45.9	Dining room and cafeteria attendants and bartender helpers
Director	180	29.8	Producers and directors
Dishwasher	274	19.5	Dishwashers
Dispatcher	292	57.4	Dispatchers
Distribution manager	291	19.2	Transportation, storage, and distribution managers
Diver	0	-	Commercial divers
Door-to-door sales worker	166	58.4	Door-to-door sales workers, news and street vendors, and related workers
Door-to-door salesperson	166	58.4	Door-to-door sales workers, news and street vendors, and related workers
Drafter	137	20.8	Drafters
Drawing machine operator	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Drawing machine setter	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Drawing machine tender	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Dredge operator	30	-	Dredge, excavating, and loading machine operators
Dressmakers	77	75.9	Tailors, dressmakers, and sewers
Drier operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Drier tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Drilling machine tool operator	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Drilling machine tool setter	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Drilling machine tool tender	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Driver	3,506	6.2	Driver/sales workers and truck drivers
Dry-cleaning worker	151	68	Laundry and dry-cleaning workers
Drying machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Drying machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Drywall installer	156	2.7	Drywall installers, ceiling tile installers, and tapers
Earth driller	23	-	Earth drillers, except oil and gas
Economist	28	-	Economists
Editor	174	54.1	Editors
Education administrator	918	64.2	Education administrators
Education Director	81	54.1	Directors, religious activities and education
Electric motor repairers	28	-	Electric motor, power tool, and related repairers
Electrical assembler	128	42.1	Electrical, electronics, and electromechanical assemblers
Electrical engineer	284	12.3	Electrical and electronics engineers
Electrical power-line installer	129	0.6	Electrical power-line installers and repairers
Electrical power-line repairer	129	0.6	Electrical power-line installers and repairers
Electrician	857	2.5	Electricians
Electromechanical assembler	128	42.1	Electrical, electronics, and electromechanical assemblers
Electronic home entertainment equipment installer	50	2.8	Electronic home entertainment equipment installers and repairers
Electronic home entertainment equipment repairer	50	2.8	Electronic home entertainment equipment installers and repairers
Electronics assemblers	128	42.1	Electrical, electronics, and electromechanical assemblers
Electronics engineer	284	12.3	Electrical and electronics engineers
Elementary school teacher	3,268	79.3	Elementary and middle school teachers
Elevator installer	40	-	Elevator installers and repairers
Elevator repairer	40	-	Elevator installers and repairers
Eligibility interviewer	62	76.7	Eligibility interviewers, government programs
Embalmer	17	-	Embalmers and funeral attendants
Emergency management director	11	-	Emergency management directors
Emergency medical technician	223	30.6	Emergency medical technicians and paramedics
Engine assembler	13	-	Engine and other machine assemblers
Engineer	582	14.1	Engineers, all other
Engineering manager	129	8.7	Architectural and engineering managers
Engineering technician	375	20	Engineering technicians, except drafters
Engraver	11	-	Etchers and engravers
Entertainer	67	48.1	Entertainers and performers, sports and related workers, all other
Entertainment attendant	224	42.9	Miscellaneous entertainment attendants and related workers
Environmental engineer	38	-	Environmental engineers
Environmental scientist	84	35.8	Environmental scientists and geoscientists
Equipment cleaner	331	14	Cleaners of vehicles and equipment
Etcher	11	-	Etchers and engravers
Event planner	137	85.1	Meeting, convention, and event planners
Excavating machine operator	30	-	Dredge, excavating, and loading machine operators
Exercise physiologist	5	-	Exercise physiologists
Expediting clerk	270	53.9	Production, planning, and expediting clerks
Explosives worker	10	-	Explosives workers, ordnance handling experts, and blasters
Extraction worker helper	4	-	Helpers--extraction workers
Extruding machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Extruding machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Extruding machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Fabric patternmaker	3	-	Fabric and apparel patternmakers
Fabricator	1,033	37.7	Miscellaneous assemblers and fabricators
Farm products buyer	11	-	Buyers and purchasing agents, farm products
Farm products purchasing agent	11	-	Buyers and purchasing agents, farm products
Farmer	1,018	25.2	Farmers, ranchers, and other agricultural managers
Fence erector	34	-	Fence erectors
File clerk	182	81.4	File clerks
Filling machine operator	292	52.8	Packaging and filling machine operators and tenders
Filling machine tender	292	52.8	Packaging and filling machine operators and tenders
Financial analyst	309	36.5	Financial analysts
Financial clerk	82	60.8	Financial clerks, all other
Financial examiner	15	-	Financial examiners
Financial manager	1,167	55.7	Financial managers
Financial services sales agent	262	34	Securities, commodities, and financial services sales agents
Financial specialist	45	-	Financial specialists, all other
Fire alarm systems installer	77	2.6	Security and fire alarm systems installers
Fire inspector	27	-	Fire inspectors
Firefighter	283	3.5	Firefighters
First-line supervisor of administrative support workers	1,425	70.1	First-line supervisors of office and administrative support workers
First-line supervisor of construction trades	639	3	First-line supervisors of construction trades and extraction workers
First-line supervisor of correctional officers	52	29.9	First-line supervisors of correctional officers
First-line supervisor of detectives	95	12.5	First-line supervisors of police and detectives
First-line supervisor of extraction workers	639	3	First-line supervisors of construction trades and extraction workers
First-line supervisor of farming workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers
First-line supervisor of fire fighting workers	44	-	First-line supervisors of fire fighting and prevention workers
First-line supervisor of fishing workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers
First-line supervisor of food preparation workers	519	54.8	First-line supervisors of food preparation and serving workers
First-line supervisor of food serving workers	519	54.8	First-line supervisors of food preparation and serving workers
First-line supervisor of forestry workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers
First-line supervisor of gaming workers	208	44.3	First-line supervisors of gaming workers
First-line supervisor of groundskeeping workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers
First-line supervisor of housekeeping workers	326	41.1	First-line supervisors of housekeeping and janitorial workers
First-line supervisor of installers	253	8.4	First-line supervisors of mechanics, installers, and repairers
First-line supervisor of janitorial workers	326	41.1	First-line supervisors of housekeeping and janitorial workers
First-line supervisor of landscaping workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers
First-line supervisor of lawn service workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers
First-line supervisor of mechanics	253	8.4	First-line supervisors of mechanics, installers, and repairers
First-line supervisor of non-retail sales workers	1,220	30	First-line supervisors of non-retail sales workers
First-line supervisor of office support workers	1,425	70.1	First-line supervisors of office and administrative support workers
First-line supervisor of operating workers	768	19.1	First-line supervisors of production and operating workers
First-line supervisor of personal service workers	232	66.2	First-line supervisors of personal service workers
First-line supervisor of police	95	12.5	First-line supervisors of police and detectives
First-line supervisor of prevention workers	44	-	First-line supervisors of fire fighting and prevention workers
First-line supervisor of production workers	768	19.1	First-line supervisors of production and operating workers
